crosswalk_id,car
06-0000013659,0.076712329
06-0000046600,0
06-0000038970,0.138356164
06-0000011834,0
06-0000013651,0.089041096
06-0000023068,5.238356164
06-0000015659,0
06-0000036058,0
06-0000036838,0.089041096
06-0000036057,0
06-0000038971,0.184931507
06-0000038969,0.138356164
06-0000013151,0.046575342
06-0000013652,0.089041096
06-0000012411,0
06-0000048568,0.076712329
06-0000036837,0.089041096
06-0000039268,1.7
06-0000038972,0.147945205
06-0000038361,0.089041096
06-0000013152,0.110958904
06-0000022107,0
06-0000038360,0.089041096
06-0000038973,0.147945205
06-0000013654,0.089041096
06-0000036835,0.089041096
06-0000013657,0.121917808
06-0000037734,0.395890411
06-0000013345,3.316438356
06-0000013150,0.046575342
06-0000013656,0.121917808
06-0000013653,0.089041096
06-0000036836,0.089041096
06-0000013655,0.121917808
06-0000013658,2.923287671
06-0000013953,0.320547945
06-0000013183,0.169863014
06-0000038810,0.057534247
06-0000034380,0
06-0000034379,0
06-0000013188,0.242465753
06-0000013187,0.242465753
06-0000013185,0.304109589
06-0000044683,0.242465753
06-0000013951,0.383561644
06-0000013952,0.275342466
06-0000013184,0.242465753
06-0000027846,0.105479452
06-0000035677,0.078082192
06-0000013544,0.169863014
06-0000013479,0.124657534
06-0000013541,0.169863014
06-0000048609,0.169863014
06-0000034381,0
06-0000048608,0.169863014
06-0000013543,0.169863014
06-0000013480,0.124657534
06-0000013532,0.198630137
06-0000013542,0.169863014
06-0000027849,0.124657534
06-0000040292,2.923287671
06-0000013085,0
06-0000013477,2.882191781
06-0000039302,0
06-0000013540,0.045205479
06-0000013538,0.14109589
06-0000038811,0.14109589
06-0000013499,0
06-0000013550,0.093150685
06-0000027848,0.093150685
06-0000013539,0.045205479
06-0000013481,0.073972603
06-0000020765,0.047945205
06-0000050670,0.14109589
06-0000015732,0
06-0000013547,0.047945205
06-0000015735,0.047945205
06-0000027850,0.038356164
06-0000013117,0
06-0000034382,0
06-0000050669,0.14109589
06-0000033800,0
06-0000027851,0
06-0000012969,0.075342466
06-0000012971,0.075342466
06-0000013121,0
06-0000038496,0.180821918
06-0000013495,0.180821918
06-0000013494,0.180821918
06-0000013496,0.217808219
06-0000027852,0
06-0000013122,0
06-0000023871,0
06-0000024504,0.047945205
06-0000036059,0
06-0000023873,0
06-0000036060,0
06-0000013102,0.032876712
06-0000013124,0
06-0000023874,0
06-0000019874,0
06-0000042147,0
06-0000042148,0
06-0000013123,0
06-0000042141,0
06-0000047920,0
06-0000042142,0
06-0000039272,0
06-0000039303,0
06-0000031760,0
06-0000019873,0
06-0000027785,0
06-0000042140,0
06-0000027788,1.060273973
06-0000019869,0
06-0000012975,1.060273973
06-0000029733,0.034246575
06-0000027789,0
06-0000013104,0.047945205
06-0000012974,0.032876712
06-0000027792,0
06-0000024363,0.032876712
06-0000013491,0.217808219
06-0000024372,0
06-0000036910,0.217808219
06-0000038976,0.034246575
06-0000011612,0
06-0000038977,0.034246575
06-0000011609,1.05890411
06-0000044936,0
06-0000025616,0.076712329
06-0000045844,0
06-0000025865,0
06-0000011608,1.05890411
06-0000015648,0.042465753
06-0000019875,0
06-0000013090,0
06-0000013488,0
06-0000042139,0
06-0000012973,0
06-0000030344,2.268493151
06-0000024490,0.047945205
06-0000025866,0
06-0000012972,0
06-0000011613,0.034246575
06-0000042146,0
06-0000029734,0
06-0000042145,0
06-0000011610,1.05890411
06-0000042144,0
06-0000050375,0
06-0000030696,0.119178082
06-0000015713,0.032876712
06-0000011605,0
06-0000003232,0
06-0000013125,0
06-0000013492,0.034246575
06-0000019870,0
06-0000027786,0
06-0000027791,0
06-0000049318,0
06-0000019871,0
06-0000041457,0
06-0000039034,0
06-0000042143,0
06-0000040238,0.034246575
06-0000045464,0
06-0000019294,0.142465753
06-0000045826,0
06-0000031761,0
06-0000031759,0
06-0000041697,0
06-0000013484,0
06-0000011606,0
06-0000027429,0
06-0000013487,0
06-0000011607,0.042465753
06-0000024362,0
06-0000045685,0
06-0000027424,0
06-0000023876,0
06-0000024357,0
06-0000011611,0
06-0000019575,0.034246575
06-0000045813,0.119178082
06-0000023877,0
06-0000019872,0
06-0000013099,0.032876712
06-0000013100,0.032876712
06-0000036909,0.176712329
06-0000050011,0
06-0000040403,0
06-0000030342,0.176712329
06-0000044814,0
06-0000030343,0.142465753
06-0000013483,0
06-0000013489,0.08630137
06-0000013098,0.032876712
06-0000013486,0
06-0000041098,0.208219178
06-0000045831,0
06-0000045833,0
06-0000026765,0.139726027
06-0000013096,0
06-0000045832,0
06-0000031758,0
06-0000045684,0
06-0000045825,0
06-0000013490,0.08630137
06-0000023325,0
06-0000026764,0.139726027
06-0000013088,0
06-0000045683,0.075342466
06-0000013087,0
06-0000045824,0
06-0000045682,0.075342466
06-0000027787,0
06-0000041700,0
06-0000023323,0
06-0000012525,0
06-0000041698,0
06-0000013525,0.179452055
06-0000045823,0
06-0000036908,0.179452055
06-0000013510,0
06-0000021928,0
06-0000024368,0.343835616
06-0000013507,0.912328767
06-0000023324,0
06-0000045835,0
06-0000013526,0.145205479
06-0000024370,0
06-0000013167,0.343835616
06-0000026149,0.912328767
06-0000041699,0
06-0000045649,0.145205479
06-0000012524,0
06-0000045822,0
06-0000013509,0
06-0000024369,0.343835616
06-0000013508,0.912328767
06-0000045834,0
06-0000045811,0.105479452
06-0000045842,0.091780822
06-0000051648,0.091780822
06-0000044797,0
06-0000024371,0.343835616
06-0000044796,0
06-0000045836,0
06-0000013178,0.068493151
06-0000045812,0.105479452
06-0000013161,0.105479452
06-0000028876,0.105479452
06-0000044798,0
06-0000013174,0.068493151
06-0000013176,0.068493151
06-0000045810,0.105479452
06-0000047701,0
06-0000049979,0
06-0000045806,0
06-0000045841,0.091780822
06-0000038968,0.068493151
06-0000038967,0.068493151
06-0000045807,0
06-0000045808,0
06-0000045821,0
06-0000038966,0.068493151
06-0000045840,0.091780822
06-0000050667,0.091780822
06-0000045805,0
06-0000045681,0.075342466
06-0000013785,0.038356164
06-0000028786,0
06-0000044812,0
06-0000013170,0.068493151
06-0000044813,0
06-0000045820,0
06-0000023878,0
06-0000013512,0
06-0000025963,0.038356164
06-0000044799,0
06-0000052718,0.075342466
06-0000052719,0.075342466
06-0000045679,0.075342466
06-0000013055,0.161643836
06-0000045680,0.075342466
06-0000013511,0
06-0000044811,0
06-0000013054,0.161643836
06-0000044809,0
06-0000045828,0
06-0000052717,0.075342466
06-0000045837,0
06-0000044808,0
06-0000050666,0
06-0000013506,0.865753425
06-0000013168,0
06-0000044806,0
06-0000045686,0
06-0000045678,0
06-0000044800,0
06-0000013169,0
06-0000044801,0
06-0000013053,0
06-0000044803,0
06-0000045839,0
06-0000050351,0
06-0000044805,0
06-0000044807,0
06-0000044810,0
06-0000050352,0
06-0000045687,0
06-0000044804,0
06-0000045838,0
06-0000044802,0
06-0000019572,0.108219178
06-0000013049,0
06-0000045677,0
06-0000013052,0
06-0000013050,0
06-0000038763,0.061643836
06-0000027427,0
06-0000028791,0.061643836
06-0000027110,0
06-0000040549,1.252054795
06-0000038984,0.061643836
06-0000023896,0.061643836
06-0000024550,0
06-0000038073,0.071232877
06-0000013514,0
06-0000023895,0.061643836
06-0000040500,1.252054795
06-0000026763,0
06-0000024501,1.252054795
06-0000025965,0
06-0000013513,0.252054795
06-0000011275,0.061643836
06-0000040499,0
06-0000044394,0
06-0000045804,0
06-0000028795,0.061643836
06-0000045657,0
06-0000028799,0.061643836
06-0000028793,0
06-0000045656,0
06-0000041170,0
06-0000045827,0
06-0000044696,0
06-0000013521,0.034246575
06-0000045658,0
06-0000041163,0
06-0000044393,0
06-0000015733,0
06-0000028806,0.061643836
06-0000045660,0
06-0000041172,0
06-0000013518,0
06-0000045655,0
06-0000052713,0
06-0000052714,0
06-0000013516,0
06-0000013515,0.252054795
06-0000045659,0
06-0000041169,0
06-0000044695,0
06-0000013519,0.034246575
06-0000013517,0
06-0000044697,0
06-0000028846,0.034246575
06-0000041171,0
06-0000045818,0
06-0000013520,0.034246575
06-0000041168,0
06-0000041164,0
06-0000045819,0
06-0000044689,0
06-0000045688,0
06-0000044704,0
06-0000041174,0
06-0000048801,0
06-0000048803,0
06-0000044693,0
06-0000052712,0
06-0000052711,0
06-0000045690,0.08630137
06-0000044691,0
06-0000045689,0.08630137
06-0000028805,0
06-0000037831,3.235616438
06-0000044694,0
06-0000044692,0
06-0000023321,0
06-0000030700,0
06-0000037832,3.235616438
06-0000027426,0
06-0000028808,3.235616438
06-0000029769,0
06-0000030701,0
06-0000029763,0
06-0000030699,0
06-0000011691,3.235616438
06-0000011690,0
06-0000045691,0.08630137
06-0000028807,3.235616438
06-0000045669,0
06-0000044925,0
06-0000028809,3.235616438
06-0000028810,3.191780822
06-0000038599,1.023287671
06-0000030702,1.023287671
06-0000030703,1.023287671
06-0000038598,1.023287671
06-0000038600,1.023287671
06-0000024502,0
06-0000048802,0
06-0000052150,0
06-0000028814,0
06-0000052149,0
06-0000041173,0
06-0000030704,1.023287671
06-0000036906,0
06-0000045873,0
06-0000045874,0
06-0000028813,0
06-0000030705,1.023287671
06-0000050025,0
06-0000045875,0
06-0000045872,0
06-0000047608,0
06-0000028817,0
06-0000024503,0
06-0000052829,3.952054795
06-0000013524,0
06-0000045830,0.032876712
06-0000028812,0
06-0000044392,0
06-0000028816,3.952054795
06-0000045668,0.032876712
06-0000050018,0
06-0000044391,0
06-0000044923,0
06-0000028815,0.42739726
06-0000028804,0.42739726
06-0000044390,0
06-0000044922,0
06-0000045797,0
06-0000045798,0
06-0000038072,0
06-0000045864,0
06-0000034383,0
06-0000045802,0
06-0000045871,0
06-0000045865,0
06-0000045692,0
06-0000045803,0
06-0000044389,0
06-0000045863,0
06-0000045868,0
06-0000045799,0
06-0000045869,0
06-0000028792,0.42739726
06-0000045867,0
06-0000028785,0.42739726
06-0000044702,0
06-0000028803,0
06-0000045829,0.032876712
06-0000044703,0
06-0000039035,0
06-0000028802,0
06-0000045845,0
06-0000028818,0
06-0000045878,0
06-0000045661,0
06-0000028787,0
06-0000028819,0
06-0000045846,0
06-0000028788,0
06-0000045662,0
06-0000045663,0
06-0000028783,0
06-0000045664,0
06-0000045665,0
06-0000045667,0
06-0000028801,0
06-0000045666,0
06-0000051053,0
06-0000051054,0
06-0000045670,0
06-0000028800,0
06-0000044388,0
06-0000045854,0
06-0000045847,0
06-0000045671,0
06-0000045855,0
06-0000045674,0
06-0000045853,0
06-0000045672,0
06-0000045673,0
06-0000045861,0
06-0000045856,0
06-0000044387,0
06-0000045675,0
06-0000045676,0
06-0000045862,0
06-0000045295,0
06-0000045866,0
06-0000052135,0
06-0000045296,0
06-0000028784,0
06-0000045291,0
06-0000041778,0
06-0000028790,0
06-0000028794,0.473972603
06-0000028782,0
06-0000036905,0
06-0000028789,0.483561644
06-0000028750,0
06-0000045848,0
06-0000028796,0.910958904
06-0000045852,0
06-0000050672,0.910958904
06-0000028748,0
06-0000028745,0
06-0000045851,0
06-0000034384,0
06-0000045850,0
06-0000052136,0
06-0000028770,0.436986301
06-0000045857,0
06-0000041371,0
06-0000045849,0
06-0000050671,0.910958904
06-0000031269,0
06-0000028781,0
06-0000041374,0
06-0000045860,0
06-0000013784,0
06-0000028747,0
06-0000045859,0
06-0000045796,0
06-0000041365,0
06-0000028742,0
06-0000028798,0.910958904
06-0000039043,0
06-0000041372,0
06-0000028777,0
06-0000045858,0
06-0000028780,0
06-0000028743,0
06-0000041366,0
06-0000045882,0
06-0000037773,0
06-0000039042,0
06-0000041369,0
06-0000045292,0
06-0000041373,0
06-0000039037,0.045205479
06-0000041370,0
06-0000028741,0
06-0000050953,0
06-0000050673,0.910958904
06-0000045293,0
06-0000028797,0.7
06-0000045711,0.045205479
06-0000039036,0.045205479
06-0000037774,0
06-0000045294,0
06-0000041368,0
06-0000039044,0
06-0000041363,0
06-0000028769,0.436986301
06-0000028778,0
06-0000041367,0
06-0000039039,0.045205479
06-0000045781,0
06-0000045712,0.045205479
06-0000028768,0.436986301
06-0000028753,0
06-0000028776,0
06-0000039041,0.045205479
06-0000028752,0
06-0000028767,0.436986301
06-0000039038,0.045205479
06-0000045710,0.045205479
06-0000045780,0
06-0000045779,0
06-0000045777,0
06-0000049638,0
06-0000045778,0
06-0000045776,0
06-0000028774,0
06-0000045775,0
06-0000028775,0
06-0000028772,0
06-0000028773,0
06-0000044386,0
06-0000049639,0
06-0000045786,0
06-0000045774,0
06-0000047725,0
06-0000028766,0
06-0000028771,0
06-0000028751,0
06-0000049640,0
06-0000028765,0
06-0000044385,0.039726027
06-0000045787,0.039726027
06-0000045773,0
06-0000028764,0
06-0000052139,3.245205479
06-0000015737,3.475342466
06-0000052137,3.475342466
06-0000041929,3.475342466
06-0000041267,0.320547945
06-0000052141,0.320547945
06-0000041268,3.475342466
06-0000047726,0
06-0000028754,0.08630137
06-0000045693,0.08630137
06-0000045694,0
06-0000044384,0.04109589
06-0000045695,0.080821918
06-0000028755,0.08630137
06-0000013633,0.320547945
06-0000051201,0.08630137
06-0000049533,0
06-0000049642,4.352054795
06-0000045696,0.04109589
06-0000049527,0.04109589
06-0000049523,0
06-0000049528,0.04109589
06-0000047719,4.352054795
06-0000049524,0
06-0000049526,0
06-0000049643,16.05068493
06-0000049529,0.04109589
06-0000048353,6.85890411
06-0000049525,0
06-0000047718,4.352054795
06-0000050676,6.85890411
06-0000045717,6.85890411
06-0000013634,0.267123288
06-0000045715,6.85890411
06-0000028763,0.079452055
06-0000049534,0
06-0000025792,0.230136986
06-0000045716,6.85890411
06-0000049537,0.08630137
06-0000047717,0
06-0000051459,0
06-0000045714,0
06-0000048352,6.85890411
06-0000036904,0.230136986
06-0000050675,6.85890411
06-0000049535,0
06-0000049536,0
06-0000028762,0.116438356
06-0000045713,0
06-0000047715,0.039726027
06-0000049538,0
06-0000013044,0.079452055
06-0000051458,0
06-0000047716,0
06-0000039040,0
06-0000013045,0.079452055
06-0000049532,0.04109589
06-0000030979,0.079452055
06-0000047714,0
06-0000051460,0.035616438
06-0000047723,11.69863014
06-0000030981,0.079452055
06-0000047724,11.69863014
06-0000047722,11.69863014
06-0000027783,0
06-0000045718,0
06-0000047721,0
06-0000011882,0
06-0000028760,0.079452055
06-0000049565,0
06-0000028761,0.079452055
06-0000027782,0
06-0000047720,0
06-0000047712,1.105479452
06-0000028759,0
06-0000027781,0
06-0000049455,0.369863014
06-0000047713,1.105479452
06-0000030980,0
06-0000047711,1.105479452
06-0000012386,0
06-0000035129,0
06-0000028757,0
06-0000027780,0
06-0000047710,0.369863014
06-0000028756,0
06-0000049454,0.369863014
06-0000041530,0
06-0000049453,0.369863014
06-0000027778,0
06-0000032381,0
06-0000011881,0
06-0000034385,0.369863014
06-0000051457,0
06-0000011879,0
06-0000027775,0
06-0000028758,0
06-0000011880,0
06-0000040095,0
06-0000027774,0
06-0000034386,0.323287671
06-0000027770,0
06-0000049649,0.050684932
06-0000049452,0.323287671
06-0000011878,0
06-0000044572,1.371232877
06-0000049650,0.050684932
06-0000049653,0
06-0000049647,0.050684932
06-0000049651,0.050684932
06-0000035676,0.043835616
06-0000035675,0.043835616
06-0000049652,0
06-0000049655,0
06-0000049648,0.050684932
06-0000049530,0
06-0000035674,0.043835616
06-0000049654,0
06-0000049657,0
06-0000049531,0
06-0000012422,0
06-0000049100,0
06-0000049103,0
06-0000013523,0
06-0000049098,0
06-0000022243,0
06-0000049099,0
06-0000045731,0
06-0000013522,0
06-0000049539,0
06-0000049644,0
06-0000034387,0.523287671
06-0000049102,0
06-0000012098,0
06-0000045719,0
06-0000049656,0
06-0000049104,0
06-0000012100,0
06-0000049571,0
06-0000049105,0
06-0000045720,0
06-0000049101,0
06-0000045722,0
06-0000012099,0
06-0000049106,0
06-0000045730,0
06-0000049641,0
06-0000049572,0
06-0000049568,0
06-0000045721,0
06-0000030483,0.27260274
06-0000012363,0.236986301
06-0000049563,0
06-0000049573,0
06-0000049567,0
06-0000049559,0
06-0000012362,0.27260274
06-0000049560,0
06-0000049557,0
06-0000012364,0.27260274
06-0000039067,0.27260274
06-0000049561,0
06-0000037790,0.256164384
06-0000049556,0.057534247
06-0000049553,0.057534247
06-0000002735,0.104109589
06-0000049555,0.057534247
06-0000049660,0
06-0000049550,3.108219178
06-0000049685,2.705479452
06-0000049686,2.705479452
06-0000049684,2.705479452
06-0000049679,0.92739726
06-0000052826,0
06-0000049451,0.132876712
06-0000049687,2.705479452
06-0000049681,0.92739726
06-0000049678,0.92739726
06-0000049658,0
06-0000049680,0.92739726
06-0000049677,0
06-0000049676,0
06-0000049662,0
06-0000049663,0
06-0000012456,0.257534247
06-0000049661,0
06-0000051661,0.089041096
06-0000049170,0
06-0000045728,0
06-0000012096,0.045205479
06-0000046620,0.432876712
06-0000012447,0.089041096
06-0000028101,0.089041096
06-0000049543,0
06-0000012097,0.045205479
06-0000045723,0
06-0000045729,0
06-0000012095,0.045205479
06-0000024413,0.390410959
06-0000045725,0
06-0000045727,0
06-0000045724,0
06-0000045708,0
06-0000045726,0
06-0000049541,0
06-0000049542,0
06-0000045709,0
06-0000045707,0
06-0000028102,0.135616438
06-0000045706,0
06-0000039222,0.135616438
06-0000049659,0
06-0000012367,0
06-0000039068,0
06-0000049606,0
06-0000049596,0
06-0000048565,0.056164384
06-0000048566,0.056164384
06-0000028104,0
06-0000003342,0.082191781
06-0000029187,0.036986301
06-0000039370,0.082191781
06-0000048564,0.056164384
06-0000013557,0.132876712
06-0000049607,0
06-0000024412,0.056164384
06-0000013556,0.22739726
06-0000012088,0
06-0000049605,0
06-0000012595,0.290410959
06-0000052771,0.983561644
06-0000012368,0.045205479
06-0000052769,0.983561644
06-0000024410,0.983561644
06-0000049608,0
06-0000052770,0.983561644
06-0000024408,0.983561644
06-0000049450,7.157534247
06-0000012094,0.082191781
06-0000002945,0.290410959
06-0000038499,0.036986301
06-0000012090,0.036986301
06-0000035385,0.290410959
06-0000024409,0.983561644
06-0000012089,0
06-0000049602,0
06-0000028511,0
06-0000039371,0.082191781
06-0000013555,0.22739726
06-0000038500,0
06-0000035386,0.132876712
06-0000013553,0.090410959
06-0000049604,0
06-0000024407,0.983561644
06-0000048575,0.145205479
06-0000049601,0
06-0000003344,0
06-0000012444,0.280821918
06-0000045705,0
06-0000039762,0
06-0000048574,0.145205479
06-0000039372,0.050684932
06-0000012093,0.082191781
06-0000025485,0
06-0000027362,0.715068493
06-0000049689,0.92739726
06-0000024406,0.983561644
06-0000048577,0.145205479
06-0000049603,0
06-0000013554,0.132876712
06-0000048576,0.145205479
06-0000013552,0.090410959
06-0000049666,0
06-0000039373,0.090410959
06-0000049665,0
06-0000012443,0.324657534
06-0000022978,0.042465753
06-0000003349,0.056164384
06-0000049500,0.31369863
06-0000045704,0
06-0000049501,0.31369863
06-0000049664,0
06-0000003345,0.050684932
06-0000013551,0.090410959
06-0000012371,0
06-0000012370,0.078082192
06-0000049615,0
06-0000037849,0.253424658
06-0000012439,1.065753425
06-0000049675,0
06-0000024424,0.056164384
06-0000028536,0
06-0000012369,0.078082192
06-0000049502,0.31369863
06-0000015685,0.993150685
06-0000003358,0.056164384
06-0000012102,0.082191781
06-0000049616,0
06-0000049499,0.552054795
06-0000003246,0.106849315
06-0000049614,0
06-0000013549,0.452054795
06-0000024420,0.056164384
06-0000049547,0
06-0000012440,0.993150685
06-0000049329,0.993150685
06-0000028535,0
06-0000034723,0.056164384
06-0000033648,0.056164384
06-0000049617,0
06-0000049611,0
06-0000012441,0.993150685
06-0000013548,0.331506849
06-0000003350,0.056164384
06-0000049503,0
06-0000031627,15.45753425
06-0000050941,0
06-0000045703,0
06-0000049612,0
06-0000052822,16.74520548
06-0000049610,0
06-0000052823,4.457534247
06-0000050942,0
06-0000050940,0
06-0000045702,0
06-0000049497,13.4260274
06-0000012442,0.089041096
06-0000049597,0
06-0000025507,0
06-0000011812,0.173972603
06-0000049613,0
06-0000049303,0
06-0000049667,0
06-0000023069,0
06-0000011052,0
06-0000049599,0
06-0000049448,5.039726027
06-0000015670,0
06-0000049624,0
06-0000049449,0
06-0000050022,0
06-0000002944,0
06-0000013546,0.598630137
06-0000052821,0
06-0000049625,0
06-0000049598,0
06-0000013545,0.565753425
06-0000049622,0
06-0000039374,0.565753425
06-0000034388,5.039726027
06-0000049600,0
06-0000013746,0
06-0000049496,6.116438356
06-0000049623,0
06-0000041569,0.083561644
06-0000045700,0
06-0000012101,0.130136986
06-0000041568,0.083561644
06-0000024641,0
06-0000049619,0
06-0000013747,0
06-0000045701,0
06-0000024642,0
06-0000049621,0
06-0000034361,0.073972603
06-0000049494,0.068493151
06-0000049620,0
06-0000045699,0
06-0000012147,0
06-0000039992,0
06-0000013182,0.634246575
06-0000045698,0.360273973
06-0000049495,5.320547945
06-0000049548,0
06-0000049618,0
06-0000013537,0.083561644
06-0000041364,0
06-0000011840,0
06-0000012638,0.130136986
06-0000012143,0
06-0000049672,0
06-0000012146,0
06-0000012148,0.036986301
06-0000049673,0
06-0000012107,0.117808219
06-0000028083,0.252054795
06-0000038498,0.073972603
06-0000012111,0.117808219
06-0000028084,0.252054795
06-0000049670,0
06-0000049585,0
06-0000028085,0.252054795
06-0000052144,0.360273973
06-0000012121,0.360273973
06-0000049586,0
06-0000012109,0.117808219
06-0000051727,0
06-0000013536,0.083561644
06-0000027247,0
06-0000049671,0
06-0000012108,0.117808219
06-0000012149,0.073972603
06-0000049584,0
06-0000041927,1.142465753
06-0000012155,0.360273973
06-0000037803,0.036986301
06-0000012144,0.036986301
06-0000041928,1.175342466
06-0000049587,0
06-0000037802,0.397260274
06-0000039074,0.397260274
06-0000037223,0.056164384
06-0000013180,0.471232877
06-0000012145,0.360273973
06-0000011839,0.198630137
06-0000045754,0
06-0000049669,0.206849315
06-0000045757,0
06-0000051728,0
06-0000048567,0.360273973
06-0000012597,0.230136986
06-0000025095,0.360273973
06-0000024640,0
06-0000045755,0
06-0000040430,4.604109589
06-0000045756,0
06-0000013171,1.02739726
