crosswalk_id,tube,on,off,distance
06-0000014251,김포공항,25718.53846153846,24021.153846153848,445.3285888415096
06-0000039034,신방화,6518.641025641025,6320.307692307692,445.773183983774
06-0000025603,가양,20669.30769230769,20122.74358974359,445.8008137605905
06-0000039303,신방화,6518.641025641025,6320.307692307692,446.74387651314953
06-0000044922,마곡,9872.205128205129,9996.28205128205,446.882033190551
06-0000014023,김포공항,25718.53846153846,24021.153846153848,446.9713688209817
06-0000019873,신방화,6518.641025641025,6320.307692307692,447.00814556395835
06-0000049684,우장산,13611.076923076924,13370.076923076924,447.2190299851942
06-0000027823,가양,20669.30769230769,20122.74358974359,447.44396459548426
06-0000030344,신방화,6518.641025641025,6320.307692307692,447.5657162896699
06-0000049619,양천향교,8965.923076923076,9118.794871794871,447.68959138143407
06-0000012165,양천향교,8965.923076923076,9118.794871794871,447.6979299766133
06-0000026904,등촌,10748.333333333334,10268.076923076924,447.74888079292185
06-0000015716,가양,20669.30769230769,20122.74358974359,448.18095082816956
06-0000049597,양천향교,8965.923076923076,9118.794871794871,448.49953360656156
06-0000000054,개화산,5385.2307692307695,5159.564102564103,448.7821415040956
06-0000049685,우장산,13611.076923076924,13370.076923076924,449.05069391080644
06-0000033796,증미,6634.128205128205,6262.128205128205,449.08365610298125
06-0000013487,방화,6402.48717948718,6107.538461538462,449.3871758287042
06-0000040059,양천향교,8965.923076923076,9118.794871794871,450.0586182590359
06-0000013019,염창,16735.410256410258,16139.615384615385,450.1787665511555
06-0000013149,가양,20669.30769230769,20122.74358974359,450.49434665579156
06-0000048576,화곡,27246.28205128205,25422.128205128207,450.9191863426478
06-0000025581,등촌,10748.333333333334,10268.076923076924,450.92975155891133
06-0000003579,까치산,27313.358974358973,26170.25641025641,450.9620769995395
06-0000012369,화곡,27246.28205128205,25422.128205128207,451.33756236534197
06-0000025582,등촌,10748.333333333334,10268.076923076924,451.39018401379025
06-0000032131,가양,20669.30769230769,20122.74358974359,451.47021416487604
06-0000027440,염창,16735.410256410258,16139.615384615385,451.484648157799
06-0000028747,발산,19879.82051282051,20772.97435897436,451.75831354930784
06-0000013484,방화,6402.48717948718,6107.538461538462,453.6163357606906
06-0000028753,마곡,9872.205128205129,9996.28205128205,453.8268391692258
06-0000012166,양천향교,8965.923076923076,9118.794871794871,454.2368332070716
06-0000032132,가양,20669.30769230769,20122.74358974359,454.2505223923493
06-0000032133,가양,20669.30769230769,20122.74358974359,454.2559074779134
06-0000044572,마곡나루,21288.871794871797,20787.07692307692,455.6905967996119
06-0000049448,양천향교,8965.923076923076,9118.794871794871,456.2390064728598
06-0000050023,가양,20669.30769230769,20122.74358974359,456.4148900318999
06-0000045829,마곡,9872.205128205129,9996.28205128205,456.5231554803858
06-0000048577,화곡,27246.28205128205,25422.128205128207,456.58017757841526
06-0000014027,개화산,5385.2307692307695,5159.564102564103,456.9361005064443
06-0000048574,화곡,27246.28205128205,25422.128205128207,457.12543273981044
06-0000014044,공항시장,2778.153846153846,2968.974358974359,457.18614680960445
06-0000049496,양천향교,8965.923076923076,9118.794871794871,457.38008649127863
06-0000051454,가양,20669.30769230769,20122.74358974359,457.3990399102902
06-0000041457,신방화,6518.641025641025,6320.307692307692,457.7226687074303
06-0000045853,발산,19879.82051282051,20772.97435897436,458.15793118983476
06-0000047271,염창,16735.410256410258,16139.615384615385,458.1822898703172
06-0000039272,신방화,6518.641025641025,6320.307692307692,458.2131398422432
