lat,lon,불법주정차_단속수,불법주정차_다발여부
37.5578636,126.839,27,1
37.5576773,126.8389328,27,1
37.558760799999995,126.841089,51,1
37.5587995,126.8430159,31,1
37.5657693,126.8414038,79,1
37.566025,126.8414678,126,1
37.5630596,126.8407096,106,1
37.5609717,126.8398811,38,1
37.5591521,126.8406563,37,1
37.559146999999996,126.842201,1829,2
37.5289813,126.84766499999999,71,1
37.5291083,126.84526229999999,31,1
37.5289914,126.8479624,25,1
37.528775,126.84804040000002,24,1
37.5295925,126.84880849999999,2577,2
37.528509299999996,126.84228940000001,52,1
37.528034399999996,126.8421518,53,1
37.5281049,126.841619,34,1
37.528416299999996,126.84158470000001,33,1
37.5280935,126.8413781,25,1
37.5283895,126.8412412,42,1
37.5283224,126.8397341,35,1
37.5283091,126.8461865,43,1
37.528725099999996,126.84606470000001,28,1
37.528658899999996,126.8459288,40,1
37.5282776,126.84572990000001,47,1
37.528425799999994,126.8479892,34,1
37.5287315,126.84553909999998,74,1
37.528228000000006,126.8445303,43,1
37.5286157,126.84437720000001,25,1
37.5281204,126.8436504,38,1
37.528144899999994,126.84322490000001,36,1
37.528492299999996,126.84299320000001,25,1
37.530009299999996,126.8558158,30,1
37.5292304,126.8495642,36,1
37.5637903,126.84596770000002,405,1
37.564836299999996,126.8425513,610,1
37.5650048,126.841844,39,1
37.567845299999995,126.84149840000002,48,1
37.566725299999995,126.8432341,28,1
37.5662351,126.84369779999999,59,1
37.56597360000001,126.8460699,52,1
37.5659755,126.8441399,1879,2
37.5693093,126.8432247,30,1
37.5699537,126.84241659999999,34,1
37.5294941,126.8437951,65,1
37.5296691,126.8465989,27,1
37.5301434,126.8452497,38,1
37.529942299999995,126.8461523,59,1
37.5292314,126.84512240000002,81,1
37.529567799999995,126.847475,31,1
37.5298425,126.8445669,69,1
37.5292063,126.8446001,31,1
37.5291983,126.84443049999999,84,1
37.5455055,126.8451101,44,1
37.544507200000005,126.8384004,81,1
37.529357700000006,126.84294820000001,44,1
37.5307237,126.8563669,30,1
37.5309003,126.85794369999999,28,1
37.5310668,126.85941310000001,450,1
37.569359000000006,126.8216495,63,1
37.567305600000005,126.805778,70,1
37.562944200000004,126.80707340000002,68,1
37.57033679999999,126.8054585,67,1
37.5844302,126.8187422,28,1
37.5653469,126.81114850000002,34,1
37.5666818,126.8067274,55,1
37.5631225,126.8073264,55,1
37.5626326,126.8075334,142,1
37.565107399999995,126.80687820000001,60,1
37.563593299999994,126.80806799999999,26,1
37.5303316,126.84570049999999,25,1
37.5303943,126.8465809,34,1
37.5308084,126.8526467,68,1
37.531333000000004,126.856481,32,1
37.5320974,126.860238,84,1
37.5311661,126.8524604,36,1
37.530314600000004,126.84074640000001,24,1
37.5300646,126.84345590000001,33,1
37.5306139,126.8398378,64,1
37.52892070000001,126.8402317,58,1
37.5292036,126.8413173,28,1
37.528800399999994,126.8425348,71,1
