crosswalk_id,cafe_count
06-0000027391,2
06-0000027392,3
06-0000027393,3
06-0000027394,1
06-0000027395,1
06-0000027396,1
06-0000027397,1
06-0000027412,2
06-0000027413,2
06-0000027414,2
06-0000027415,3
06-0000027416,2
06-0000027417,2
06-0000027419,2
06-0000027420,2
06-0000027424,1
06-0000027426,4
06-0000027427,1
06-0000027429,1
06-0000027431,1
06-0000027434,1
06-0000027435,1
06-0000027441,4
06-0000027442,5
06-0000027443,5
06-0000027444,2
06-0000027445,1
06-0000027446,1
06-0000027448,1
06-0000027449,1
06-0000027453,1
06-0000027454,1
06-0000027455,1
06-0000027770,1
06-0000027802,1
06-0000027805,2
06-0000027806,2
06-0000027807,2
06-0000027808,2
06-0000027810,1
06-0000027814,1
06-0000027816,2
06-0000027817,2
06-0000027818,2
06-0000027819,2
06-0000027820,2
06-0000027821,3
06-0000027822,3
06-0000027826,1
06-0000027827,1
06-0000027829,1
06-0000027830,1
06-0000027832,1
06-0000027833,1
06-0000027836,1
06-0000027838,1
06-0000027846,2
06-0000027848,2
06-0000027849,3
06-0000027850,2
06-0000027851,1
06-0000028060,1
06-0000028061,3
06-0000028062,2
06-0000028063,2
06-0000028064,2
06-0000028065,2
06-0000028066,1
06-0000028067,1
06-0000028068,1
06-0000028069,1
06-0000028070,1
06-0000028073,3
06-0000028074,2
06-0000028075,3
06-0000028076,3
06-0000028077,2
06-0000028078,2
06-0000028081,2
06-0000028083,4
06-0000028084,3
06-0000028085,4
06-0000028086,3
06-0000028087,3
06-0000028088,3
06-0000028089,3
06-0000028090,4
06-0000028091,4
06-0000028092,4
06-0000028093,4
06-0000028511,6
06-0000028535,1
06-0000028536,1
06-0000028537,1
06-0000028538,1
06-0000028741,12
06-0000028742,9
06-0000028743,1
06-0000028750,2
06-0000028767,3
06-0000028768,3
06-0000028769,4
06-0000028770,4
06-0000028785,1
06-0000028789,4
06-0000028790,2
06-0000028792,1
06-0000028794,3
06-0000028795,1
06-0000028796,4
06-0000028797,5
06-0000028798,6
06-0000028799,1
06-0000028804,1
06-0000028806,1
06-0000028812,1
06-0000028813,2
06-0000028814,2
06-0000028815,1
06-0000028816,1
06-0000028847,2
06-0000028848,3
06-0000028878,4
06-0000028879,3
06-0000028880,3
06-0000028955,7
06-0000028956,7
06-0000029016,7
06-0000029139,1
06-0000029140,2
06-0000029141,3
06-0000029142,1
06-0000029187,5
06-0000029353,4
06-0000029360,2
06-0000029537,3
06-0000029733,3
06-0000029734,2
06-0000029739,3
06-0000030015,1
06-0000030278,3
06-0000030290,1
06-0000030293,3
06-0000030294,1
06-0000030297,1
06-0000030343,1
06-0000030344,1
06-0000030579,3
06-0000030613,2
06-0000030616,1
06-0000030617,1
06-0000030619,2
06-0000030620,1
06-0000030630,2
06-0000030692,2
06-0000030693,2
06-0000030697,1
06-0000030698,5
06-0000030699,3
06-0000030700,4
06-0000030701,4
06-0000030702,4
06-0000030703,4
06-0000030704,5
06-0000030705,5
06-0000031269,17
06-0000031465,2
06-0000031466,3
06-0000031627,5
06-0000031628,1
06-0000031629,1
06-0000031747,3
06-0000031748,5
06-0000031749,5
06-0000031751,2
06-0000031752,2
06-0000031753,5
06-0000031754,2
06-0000032126,8
06-0000032127,5
06-0000032128,5
06-0000032129,5
06-0000032130,5
06-0000032131,1
06-0000032132,1
06-0000032133,1
06-0000032134,3
06-0000032135,3
06-0000032136,3
06-0000032137,1
06-0000032154,1
06-0000032155,5
06-0000032156,2
06-0000033648,4
06-0000033798,1
06-0000033799,1
06-0000033801,1
06-0000033802,1
06-0000033804,4
06-0000033805,10
06-0000033806,3
06-0000033807,3
06-0000033808,5
06-0000033809,5
06-0000033810,1
06-0000033811,1
06-0000033813,2
06-0000033814,1
06-0000033815,1
06-0000033816,1
06-0000033817,1
06-0000033819,1
06-0000033820,1
06-0000033821,2
06-0000033822,2
06-0000033823,3
06-0000033824,3
06-0000033825,5
06-0000033826,4
06-0000033829,11
06-0000033830,1
06-0000034361,3
06-0000034362,2
06-0000034364,2
06-0000034365,1
06-0000034366,1
06-0000034367,1
06-0000034368,1
06-0000034369,1
06-0000034370,2
06-0000034371,1
06-0000034374,1
06-0000034375,1
06-0000034376,1
06-0000034377,4
06-0000034379,3
06-0000034380,4
06-0000034381,1
06-0000034385,1
06-0000034386,1
06-0000034388,1
06-0000034389,2
06-0000034390,4
06-0000034723,4
06-0000035039,7
06-0000035040,7
06-0000035042,7
06-0000035043,9
06-0000035044,9
06-0000035126,1
06-0000035127,1
06-0000035128,1
06-0000035201,6
06-0000035202,3
06-0000035203,3
06-0000035385,7
06-0000035386,8
06-0000035563,1
06-0000035677,2
06-0000035678,3
06-0000036041,1
06-0000036042,2
06-0000036538,1
06-0000036539,1
06-0000036540,1
06-0000036541,1
06-0000036542,1
06-0000036543,2
06-0000036770,1
06-0000036835,3
06-0000036836,3
06-0000036837,3
06-0000036838,3
06-0000036880,1
06-0000036904,1
06-0000036905,1
06-0000036906,1
06-0000036918,3
06-0000036919,3
06-0000036920,3
06-0000036921,3
06-0000036922,3
06-0000036923,3
06-0000036924,4
06-0000036925,4
06-0000036926,3
06-0000036927,1
06-0000037218,1
06-0000037219,1
06-0000037223,4
06-0000037224,1
06-0000037228,4
06-0000037229,4
06-0000037230,4
06-0000037231,4
06-0000037232,4
06-0000037233,4
06-0000037234,4
06-0000037235,4
06-0000037238,2
06-0000037239,2
06-0000037240,3
06-0000037704,2
06-0000037705,2
06-0000037725,3
06-0000037727,3
06-0000037730,1
06-0000037731,1
06-0000037734,2
06-0000037736,1
06-0000037737,2
06-0000037738,3
06-0000037739,1
06-0000037740,5
06-0000037741,1
06-0000037742,1
06-0000037743,1
