crosswalk_id,cafe,distance,cafe_area
06-0000019863,스타벅스커피 염창역점,1016.2826296383605,221.3
06-0000027791,스타벅스 마곡역점,1016.3785964315019,224.36
06-0000052829,스타벅스 마곡GMG점,1016.4555983651693,217.35
06-0000013063,스타벅스 김포공항DT점,1023.797756042095,450.87
06-0000029142,스타벅스 김포공항DT점,1024.315291733371,450.87
06-0000038059,스타벅스 김포공항DT점,1024.3949686851556,450.87
06-0000012974,스타벅스 방화DT,1025.215017809201,373.97
06-0000028819,스타벅스 우장산역점,1026.5181384226885,244.4
06-0000045844,스타벅스 마곡GMG점,1030.0251435070659,217.35
06-0000040241,스타벅스 화곡역8번출구점,1030.4906283927485,290.9
06-0000041697,스타벅스 방화DT,1030.9854145195457,373.97
06-0000014250,스타벅스 김포공항DT점,1031.077032504111,450.87
06-0000037738,스타벅스 김포공항DT점,1031.5772133844714,450.87
06-0000037117,스타벅스 김포공항DT점,1031.8510906878314,450.87
06-0000013800,스타벅스 김포공항DT점,1031.913235771301,450.87
06-0000029140,스타벅스 김포공항DT점,1032.5243484281802,450.87
06-0000044936,스타벅스 마곡GMG점,1032.8341145276036,217.35
06-0000033531,스타벅스 김포공항DT점,1032.8968560843696,450.87
06-0000045464,스타벅스 방화DT,1033.910421969969,373.97
06-0000023324,스타벅스 마곡GMG점,1038.0187161608103,217.35
06-0000028818,스타벅스 우장산역점,1038.288367739775,244.4
06-0000013799,스타벅스 김포공항DT점,1038.7089798223467,450.87
06-0000028073,스타벅스 김포공항DT점,1041.0150823866973,450.87
06-0000013805,스타벅스 김포공항DT점,1041.8498014717998,450.87
06-0000040244,스타벅스 화곡역8번출구점,1042.667281759424,290.9
06-0000027792,스타벅스 마곡역점,1043.2361868419644,224.36
06-0000029141,스타벅스 김포공항DT점,1044.7737425536163,450.87
06-0000013062,스타벅스 김포공항DT점,1044.8477506128884,450.87
06-0000037745,스타벅스 김포공항DT점,1045.6208120412787,450.87
06-0000037737,스타벅스 김포공항DT점,1047.0120410156874,450.87
06-0000024362,스타벅스 마곡GMG점,1048.8415014747795,217.35
06-0000013802,스타벅스 김포공항DT점,1049.0084221029585,450.87
06-0000023323,스타벅스 마곡GMG점,1050.39073767398,217.35
06-0000023325,스타벅스 마곡GMG점,1050.6246854840035,217.35
06-0000037744,스타벅스 김포공항DT점,1051.9422258645918,450.87
06-0000030297,스타벅스 김포공항DT점,1053.6930965956903,450.87
06-0000028792,스타벅스 마곡GMG점,1053.899725702747,217.35
06-0000037739,스타벅스 김포공항DT점,1054.369627216468,450.87
06-0000013061,스타벅스 김포공항DT점,1054.6375480294935,450.87
06-0000028815,스타벅스 마곡GMG점,1055.6433423617536,217.35
06-0000037116,스타벅스 김포공항DT점,1056.3643087707749,450.87
06-0000038344,스타벅스 김포공항DT점,1056.5726470066968,450.87
06-0000028785,스타벅스 우장산역점,1059.7340175021013,244.4
06-0000047701,스타벅스 마곡GMG점,1061.7114788454548,217.35
06-0000014251,스타벅스 김포공항DT점,1062.2618886927912,450.87
06-0000013801,스타벅스 김포공항DT점,1064.9071000135846,450.87
06-0000028074,스타벅스 김포공항DT점,1068.1503012322535,450.87
06-0000028075,스타벅스 김포공항DT점,1081.1237426388539,450.87
06-0000028804,스타벅스 마곡GMG점,1086.3221579588676,217.35
06-0000022106,스타벅스 김포공항DT점,1088.0497842038722,450.87
06-0000024357,스타벅스 마곡GMG점,1092.7886133995075,217.35
06-0000050375,스타벅스 마곡GMG점,1103.3473088518222,217.35
06-0000025866,스타벅스 마곡GMG점,1105.272934757413,217.35
06-0000038101,스타벅스 김포공항DT점,1106.2035136683003,450.87
06-0000013785,스타벅스 방화DT,1114.8254477405235,373.97
06-0000028076,스타벅스 김포공항DT점,1116.333848113236,450.87
06-0000025963,스타벅스 방화DT,1121.9850552693651,373.97
06-0000039302,스타벅스 마곡GMG점,1123.3795208240888,217.35
06-0000013085,스타벅스 마곡GMG점,1125.2789389897507,217.35
06-0000024372,스타벅스 마곡GMG점,1140.7140772821106,217.35
06-0000013060,스타벅스 김포공항DT점,1147.2757890841594,450.87
06-0000021928,스타벅스 마곡GMG점,1147.371629030792,217.35
06-0000023871,스타벅스 마곡GMG점,1147.6931021829744,217.35
06-0000040243,스타벅스 화곡역8번출구점,1151.1265177654122,290.9
06-0000040403,스타벅스 마곡GMG점,1154.53714055264,217.35
06-0000028793,스타벅스 마곡GMG점,1154.8253463043275,217.35
06-0000038700,스타벅스 김포공항DT점,1159.9367448320613,450.87
06-0000023873,스타벅스 마곡GMG점,1161.8546380395069,217.35
06-0000035677,스타벅스 마곡GMG점,1166.370715744926,217.35
06-0000028817,스타벅스 우장산역점,1167.117625835327,244.4
